project_id,response_id,question,text,sentence
Career_Youth_Exchange,1,What did you learn during the project?,I got very motivated and inspired from the all the activities and talks I had with the people on the project and I developed my talking in front of public skills.,I got very motivated and inspired from the all the activities and talks I had with the people on the project and I developed my talking in front of public skills.
Career_Youth_Exchange,2,What did you learn during the project?,"Teamwork, public speaking and time management","Teamwork, public speaking and time management"
Career_Youth_Exchange,3,What did you learn during the project?,"Yes, my biggest improvement would be public speaking, but besides i also developed my constructive thinking and team work. Plus some management skills.","Yes, my biggest improvement would be public speaking, but besides i also developed my constructive thinking and team work."
Career_Youth_Exchange,3,What did you learn during the project?,"Yes, my biggest improvement would be public speaking, but besides i also developed my constructive thinking and team work. Plus some management skills.",Plus some management skills.
Career_Youth_Exchange,4,What did you learn during the project?,yes I learned how to communicate difficult subjects towards my peers,yes I learned how to communicate difficult subjects towards my peers
Career_Youth_Exchange,5,What did you learn during the project?,communication skill.,communication skill.
Career_Youth_Exchange,6,What did you learn during the project?,"Yes, english speaking, caring for others, organizing skills","Yes, english speaking, caring for others, organizing skills"
Career_Youth_Exchange,7,What did you learn during the project?,"Yes, I developed creative thinking","Yes, I developed creative thinking"
Career_Youth_Exchange,8,What did you learn during the project?,yes I’m more brave,yes I’m more brave
Career_Youth_Exchange,9,What did you learn during the project?,"this project was my first project and also my first experience abroad. in addition to these, I improved my language skills and learned to look at success from different perspectives with my friends",this project was my first project and also my first experience abroad.
Career_Youth_Exchange,9,What did you learn during the project?,"this project was my first project and also my first experience abroad. in addition to these, I improved my language skills and learned to look at success from different perspectives with my friends","in addition to these, I improved my language skills and learned to look at success from different perspectives with my friends"
Career_Youth_Exchange,10,What did you learn during the project?,"English speaking, more open-mind, empathize more with people, feel more friendly and ambitious","English speaking, more open-mind, empathize more with people, feel more friendly and ambitious"
Career_Youth_Exchange,11,What did you learn during the project?,Developed leadership skills.,Developed leadership skills.
Career_Youth_Exchange,12,What did you learn during the project?,Yes I improved in social interaction.,Yes I improved in social interaction.
Career_Youth_Exchange,13,What did you learn during the project?,"Yes, I have. Especially our human relations and social ties have become much stronger.","Yes, I have."
Career_Youth_Exchange,13,What did you learn during the project?,"Yes, I have. Especially our human relations and social ties have become much stronger.",Especially our human relations and social ties have become much stronger.
Career_Youth_Exchange,14,What did you learn during the project?,Less fear and the lessons learnt in my life were clearer,Less fear and the lessons learnt in my life were clearer
Career_Youth_Exchange,16,What did you learn during the project?,Self-confidence,Self-confidence
Career_Youth_Exchange,17,What did you learn during the project?,Public speaking,Public speaking
Career_Youth_Exchange,18,What did you learn during the project?,"yes, i understood there are many career opportunities","yes, i understood there are many career opportunities"
Career_Youth_Exchange,19,What did you learn during the project?,I got to know myself better and made me realise what are my strength and what are the areas for improvement including empathy.,I got to know myself better and made me realise what are my strength and what are the areas for improvement including empathy.
Career_Youth_Exchange,20,What did you learn during the project?,"I became more open and communicative. I developed vulnerability. I realized the relevance of digital footprint and how it can affect the way people are perceived. I became more confident in public speaking, specially after being so exposed amongst a small audience. I improved my empathy and kindness as well as my self-confidence.",I became more open and communicative.
