project_id,response_id,question,text,sentence,sentiment,sentiment_score
Career_Youth_Exchange,1,What did you learn during the project?,I got very motivated and inspired from the all the activities and talks I had with the people on the project and I developed my talking in front of public skills.,I got very motivated and inspired from the all the activities and talks I had with the people on the project and I developed my talking in front of public skills.,positive,0.7755
Career_Youth_Exchange,2,What did you learn during the project?,"Teamwork, public speaking and time management","Teamwork, public speaking and time management",neutral,0.0
Career_Youth_Exchange,3,What did you learn during the project?,"Yes, my biggest improvement would be public speaking, but besides i also developed my constructive thinking and team work. Plus some management skills.","Yes, my biggest improvement would be public speaking, but besides i also developed my constructive thinking and team work.",positive,0.431
Career_Youth_Exchange,3,What did you learn during the project?,"Yes, my biggest improvement would be public speaking, but besides i also developed my constructive thinking and team work. Plus some management skills.",Plus some management skills.,neutral,0.0
Career_Youth_Exchange,4,What did you learn during the project?,yes I learned how to communicate difficult subjects towards my peers,yes I learned how to communicate difficult subjects towards my peers,neutral,0.0516
Career_Youth_Exchange,5,What did you learn during the project?,communication skill.,communication skill.,neutral,0.0
Career_Youth_Exchange,6,What did you learn during the project?,"Yes, english speaking, caring for others, organizing skills","Yes, english speaking, caring for others, organizing skills",positive,0.7096
Career_Youth_Exchange,7,What did you learn during the project?,"Yes, I developed creative thinking","Yes, I developed creative thinking",positive,0.6808
Career_Youth_Exchange,8,What did you learn during the project?,yes I’m more brave,yes I’m more brave,positive,0.7501
Career_Youth_Exchange,9,What did you learn during the project?,"this project was my first project and also my first experience abroad. in addition to these, I improved my language skills and learned to look at success from different perspectives with my friends",this project was my first project and also my first experience abroad.,neutral,0.0
Career_Youth_Exchange,9,What did you learn during the project?,"this project was my first project and also my first experience abroad. in addition to these, I improved my language skills and learned to look at success from different perspectives with my friends","in addition to these, I improved my language skills and learned to look at success from different perspectives with my friends",positive,0.872
Career_Youth_Exchange,10,What did you learn during the project?,"English speaking, more open-mind, empathize more with people, feel more friendly and ambitious","English speaking, more open-mind, empathize more with people, feel more friendly and ambitious",positive,0.7818
