project_id,response_id,question,text,sentence,sentiment,sentiment_score
proj_test,1,What did you like most?,The trainers were incredibly supportive and made everyone feel included.,The trainers were incredibly supportive and made everyone feel included.,positive,0.3597
proj_test,2,What did you like most?,I really enjoyed the interactive workshops and the relaxed atmosphere.,I really enjoyed the interactive workshops and the relaxed atmosphere.,positive,0.7778
proj_test,3,What did you like most?,The group energy was amazing and the activities were engaging.,The group energy was amazing and the activities were engaging.,positive,0.8074
proj_test,4,What did you like most?,The facilitators were well prepared and always helpful.,The facilitators were well prepared and always helpful.,positive,0.6
proj_test,5,What did you like most?,I liked how practical the sessions were and how easy it was to participate.,I liked how practical the sessions were and how easy it was to participate.,positive,0.6
proj_test,6,What did you like most?,The cultural evening was inspiring and brought everyone together.,The cultural evening was inspiring and brought everyone together.,positive,0.6
proj_test,7,What did you like most?,"The atmosphere was warm, welcoming, and motivating.","The atmosphere was warm, welcoming, and motivating.",positive,0.6
proj_test,8,What did you like most?,I appreciated the safe space for sharing ideas and experiences.,I appreciated the safe space for sharing ideas and experiences.,positive,0.8402
proj_test,9,What did you like most?,"The schedule was full, but the activities were meaningful and fun.","The schedule was full, but the activities were meaningful and fun.",positive,0.8126
proj_test,10,What did you like most?,"Even though the days were long, I enjoyed the teamwork a lot.","Even though the days were long, I enjoyed the teamwork a lot.",positive,0.6
proj_test,11,What could be improved?,The schedule was too intense and there were not enough breaks.,The schedule was too intense and there were not enough breaks.,negative,-0.6
proj_test,12,What could be improved?,The accommodation could have been better organized.,The accommodation could have been better organized.,negative,-0.6
proj_test,13,What could be improved?,"Some sessions were interesting, but the timing was confusing.","Some sessions were interesting, but the timing was confusing.",negative,-0.6
proj_test,14,What could be improved?,There should have been more free time in the evenings.,There should have been more free time in the evenings.,positive,0.5563
proj_test,15,What could be improved?,"The food was okay, but there were too few vegetarian options.","The food was okay, but there were too few vegetarian options.",negative,-0.6
proj_test,16,What could be improved?,The transport instructions were not clear before arrival.,The transport instructions were not clear before arrival.,negative,-0.6
proj_test,17,What could be improved?,"The room was nice, although it was a bit too cold at night.","The room was nice, although it was a bit too cold at night.",positive,0.4215
proj_test,18,What could be improved?,"The trainers were friendly, but some explanations were unclear.","The trainers were friendly, but some explanations were unclear.",neutral,-0.1027
proj_test,19,What could be improved?,"It was not badly organized, but communication could be improved.","It was not badly organized, but communication could be improved.",negative,-0.6
proj_test,20,What could be improved?,I expected more interactive activities and fewer presentations.,I expected more interactive activities and fewer presentations.,neutral,0.0
proj_test,21,What could be improved?,"The venue was beautiful, yet the internet connection was unreliable.","The venue was beautiful, yet the internet connection was unreliable.",positive,0.5994
proj_test,22,What could be improved?,"Nothing major was wrong, but the days felt slightly overloaded.","Nothing major was wrong, but the days felt slightly overloaded.",neutral,0.1967
proj_test,23,What could be improved?,"The program was useful overall, though the mornings started too early.","The program was useful overall, though the mornings started too early.",positive,0.4404
proj_test,24,What could be improved?,"There was a lot to learn, but sometimes the instructions were difficult to follow.","There was a lot to learn, but sometimes the instructions were difficult to follow.",negative,-0.5023
